fold,train_period,test_period,total_return,benchmark_return,excess_return,sharpe_ratio,max_drawdown,total_trades
1,2015-2017,2018-2018,-0.3964810183237367,-0.4223009779669055,0.0258199596431688,-1.074410441723264,0.560384586646337,1
2,2016-2018,2019-2019,0.0,0.31418874996508983,-0.31418874996508983,0.0,0.0,0
3,2017-2019,2020-2020,1.2768221654979004,0.9682554947986206,0.3085666706992798,3.0340936309670323,0.08744862297590461,46
4,2018-2020,2021-2021,0.0,1.204522875762692,-1.204522875762692,0.0,0.0,0
5,2019-2021,2022-2022,-0.053756802098097745,-0.4718247464089859,0.4180679443108882,-0.2492860201926896,0.20353711042130299,8
6,2020-2022,2023-2023,0.020012606327142683,0.8089893812735026,-0.78897677494636,0.2508877047756902,0.1278420657714522,40
7,2021-2023,2024-2024,0.36482405123377615,0.4865839628652351,-0.12175991163145894,1.1206040214054125,0.23960336474287144,9
